,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
48,Male Bedspace With Non Aircon Available Across Starmall Edsa Shaw,"Highway Hills, Mandaluyong","3,600",1,1,,,121.052143,14.578255
49,Girls only Condo Rooms for rent near to MRT Boni - San Francisco Garden,"Barangka Itaas, Mandaluyong",,5,1,70,,121.0437014,14.57441535
50,Bedspace for Male Only,"Highway Hills, Mandaluyong","3,800",1,1,26,,121.052143,14.578255
51,Bedspace For Working Male (long term) at RAA bldg,"Plainview, Mandaluyong","3,700",1,1,,,121.033201,14.576774
52,"Brand New One bedroom Apartment unit for rent near MRT Shaw, Mandaluyong","Highway Hills, Mandaluyong","16,000",1,1,33,,121.05059682204,14.57968360023
53,Condosharing bedspace ortigas mandaluyong boni shaw pioner,"Wack-Wack Greenhills, Mandaluyong","4,500",1,1,42,,121.053333,14.592173
54,Condo Share Dorm Room for Rent Apartment Bedspace Ortigas Mandaluyong,"Wack-Wack Greenhills, Mandaluyong","4,500",1,1,42,,121.053333,14.592173
55,Bedspace For Female in Mandaluyong City Near City Hall,"Plainview, Mandaluyong","2,500",1,1,20,,121.034862,14.575407
56,"1 Bedroom Apartment near Megamall, Greenfield, and Boni","Mauway, Mandaluyong","12,000",1,1,35,,121.04409,14.580535
57,"Boni, Mandaluyong - Rosario's Female Dormitory (San Pedro)","Plainview, Mandaluyong","4,000",1,,,,121.033201,14.576774
58,"For Lease Apartment ( staff house ) in Malaya Street, Mandaluyong City","Plainview, Mandaluyong","40,000",6,4,,,121.033201,14.576774
59,Studio Apartment at Policarpio for Rent,"New Zañiga, Mandaluyong","14,000",1,1,35,,121.02917354607,14.583390649803
60,Condo Bedspace Mandaluyong,Mandaluyong,"5,600",1,1,,,121.0363943,14.5820678
61,Lady Bedspacer in Highway Hills (Mandaluyong),"Highway Hills, Mandaluyong","2,300",1,1,10,,121.0363943,14.5820678
62,Studio Type Apartment in Zitan Greenfield District,"Highway Hills, Mandaluyong","19,000",1,1,26,,121.0517084,14.5805152
63,"Condo Sharing / Bed space for rent in City Residences, Mandaluyong City","Bagong Silang, Mandaluyong","4,000",2,1,49,,121.0300285,14.59143681
64,Condo room sharing for rent at Suntrust Treetop Villas,"Hulo, Mandaluyong","10,000",2,1,32,,121.0266,14.57461
65,Staff House For Rent In Mandaluyong,"Malamig, Mandaluyong","25,000",1,1,30,,121.0363943,14.5820678
66,Bedspace for Male Only,"Highway Hills, Mandaluyong","3,800",1,1,26,,121.052143,14.578255
67,"Bedspace for Rent in Flair Tower, Highway Hills, Mandaluyong","Highway Hills, Mandaluyong","4,000",1,1,26,,121.052143,14.578255
68,Studio at F Residences in the heart of Mandaluyong City For Rent,"Highway Hills, Mandaluyong","13,000",1,1,24,,121.052143,14.578255
69,Apartment for Rent in Mandaluyong,"Highway Hills, Mandaluyong","12,500",1,1,30,,121.052143,14.578255
70,One Bedroom Apartment for Rent in Mandaluyong (near EDSA Shangri-la and Shaw),"Highway Hills, Mandaluyong","14,000",1,1,30,,121.052143,14.578255
71,1br - apartment for ladies only,"Highway Hills, Mandaluyong","10,000",1,1,,,121.052143,14.578255
72,2 Floors Apartment in Teresa St. Makati,"Valenzuela, Makati","80,000",3,2,240,,121.024192,14.571361
73,CRD # 80033 Staff House: Building For Lease in Makati City,"Valenzuela, Makati","750,000",24,,1200,,121.024192,14.571361
74,"Staff Housing for Rent in Kalayaan Ave., Makati","Valenzuela, Makati","210,000",14,14,385,,121.024192,14.571361
75,Bedspace in a Secured Community in Makati City,"Valenzuela, Makati","3,900",10,7,200,,121.024192,14.571361
76,Apartment for Rent in Makati Poblacion Rockwell JP Rizal SC Johnson,"Poblacion, Makati","9,000",1,1,23,,121.0336219738,14.566265092401
77,Apartment for Rent in Makati Poblacion Rockwell,"Poblacion, Makati","9,000",1,1,25,,121.03370194236,14.566200025942
78,Female Bedspace for Rent in Makati,"Valenzuela, Makati","4,000",2,2,125,,121.02357,14.57167
79,The Alvendia By Rockwell 3 Bedrooms For Rent in San Juan City,"Santa Lucia, San Juan","85,000",3,4,278,,121.0342285,14.5982881
80,For Rent: Newly Renovated 2 Bedroom Apartment in Taguig St. Makati City,"Valenzuela, Makati","23,100",2,2,90,,121.02343,14.5713
81,Condo sharing (Male) in Gateway Garden Heights for rent,"Barangka Ilaya, Mandaluyong",,1,1,38,,121.0487702,14.5706437
82,"For Rent Condo Sharing in Sunshine 100 City Plaza, Mandaluyong","Buayang Bato, Mandaluyong",,1,1,20,,121.0490986,14.5705226
83,Available Studio Unit with loft for rent,"Poblacion, Makati","11,000",1,1,18,,121.032076,14.56568
84,Building for Lease in Makati City,"Poblacion, Makati","1,300,000",22,22,300,,121.032076,14.56568
85,"Residential Building for Lease in Poblacion, Makati City, Metro Manila","Poblacion, Makati","715,000",27,27,1212,,121.032076,14.56568
86,Studio Type Unit for Rent at Lee Apartments in Makati City,"Poblacion, Makati","5,500",1,1,15,,121.032076,14.56568
87,"Room for Rent, Makati City","Poblacion, Makati","17,000",2,1,50,,121.032076,14.56568
88,"5 Storey Apartment Building For Lease in Poblacion, Makati City","Poblacion, Makati","800,000",20,20,900,,121.032076,14.56568
89,"1 Ladies Bedroom Apartment for rent in Poblacion, Makati near Rockwell","Poblacion, Makati","11,000",1,1,8,,121.032076,14.56568
0,2 Bedroom Condo Unit For Rent in Mandaluyong City,"Malamig, Mandaluyong","33,000",2,2,62,,121.04426,14.574886
1,"For Rent One Bedroom Condo Unit Near Boni MRT And Pioneer, Mandaluyong","Barangka Ilaya, Mandaluyong","18,000",1,1,25,,121.0493901,14.573467
2,"Pioneer Woodlands in Mandaluyong City,1 Bedroom Brand New Condo Unit For Rent","Barangka Ilaya, Mandaluyong","20,000",1,1,30,,121.0483427,14.572573
3,Condo For Rent 1BR Furnished One Shangri La Place Wack Wack Mandaluyong City,"Wack-Wack Greenhills, Mandaluyong","60,000",1,1,64,,121.053333,14.592173
4,24 sqm Studio Condominium Unit For Rent at Flair Towers in Mandaluyong City,"Malamig, Mandaluyong","17,000",1,1,24,,121.0520598,14.5752988
5,For Rent 3BR & 2 T&B w/ Maid’s Quarter Acqua Private Residences in Mandaluyong,"Hulo, Mandaluyong","75,000",3,2,80,,121.031359,14.571604
6,"Condo For Rent St Francis Shangri-La Place in Ortigas CBD, Pasig","Wack-Wack Greenhills, Mandaluyong","35,000",1,1,43,,121.0563368,14.58035271
7,Fully Furnished 2 Bedrooms at St. Francis Shangrila Plaza Tower 2 For Lease,"Wack-Wack Greenhills, Mandaluyong","90,000",2,2,85,,121.0563368,14.58035271
8,"For rent 3 Bedroom, 2 T&B + Maid’s Room at Acqua Private Residences, Mandaluyong","Hulo, Mandaluyong","100,000",3,2,92,,121.031359,14.571604
9,Fully Furnished Condo For Rent One Shangrila Place Mandaluyong,"Shaw Boulevard, Mandaluyong","55,000",1,1,64,,121.053604,14.581224
10,A Two Bedroom Unit at Acqua Residences Livingstone Tower at the 20th Floor,"Hulo, Mandaluyong","50,000",2,2,57,,121.035805,14.5683278
