,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
1229,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-36-C,"Paligsahan, Quezon City","4,482,000",2,,36,,121.023475,14.631613
1230,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-35-I,"Paligsahan, Quezon City","4,464,000",2,,36,,121.023475,14.631613
1231,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-35-C,"Paligsahan, Quezon City","4,464,000",2,,36,,121.023475,14.631613
1232,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-36-D,"Paligsahan, Quezon City","4,482,000",2,,36,,121.023475,14.631613
1233,"For Sale: Circulo Verde 1BR Unit, 42 Sqm For Only P6,500,000!","Bagumbayan, Quezon City","6,500,000",1,1,42,,121.081903,14.605396
1234,"For Sale 2 BR in Circulo Verde Majorca Residences, Bagumbayan Quezon City","Bagumbayan, Quezon City","11,500,000",2,2,68,,121.0879502,14.60204224
1235,"1BR Unit for Sale in The Magnolia Residences Tower C, New Manila Quezon City","New Manila, Quezon City","7,624,753",1,1,36,,121.0306,14.61633
1236,"PINECREST CONDOMINIUM, Furnished Studio Unit For Sale Quezon City","Kaunlaran, Quezon City","2,900,000",1,1,25,,121.04641,14.617893
1237,RFO 1BR Condo Unit w/ Balcony for Sale at The Magnolia Residences Tower D in Quezon C...,"New Manila, Quezon City","10,301,202",1,1,45,,121.039413,14.614044
1238,53 Benitez 2 Bedroom Interior Condominium For Sale Located in Quezon City,"New Manila, Quezon City","11,000,000",2,2,63,,121.0306,14.61633
1239,2 Bedroom Unit for Sale at One Eastwood Avenue Quezon City,"Bagumbayan, Quezon City","9,000,000",2,1,69,,121.081903,14.605396
1240,RFO 1BR Condo Unit w/ Balcony for Sale at The Magnolia Residences Tower D in Quezon C...,"New Manila, Quezon City","10,782,106",1,1,44,,121.039413,14.614044
1241,"Bare 1 Bedroom Unit for Sale in Circulo Verde, Bagumbayan, Quezon City","Bagumbayan, Quezon City","4,600,000",1,1,38,,121.081903,14.605396
1242,RFO Penthouse in Vivaldi Residences Cubao Quezon City for sale,"Socorro, Quezon City","8,244,705",2,2,68,,121.056446,14.617564
1243,RFO Studio Condominium For Sale Quezon City QC E Rodriguez Ready For Occupancy,"E. Rodriguez, Quezon City","4,158,792",1,1,24,,121.052143,14.627397
1244,Studio type,"Batasan Hills, Quezon City","2,000,000",1,1,25,,121.096563,14.681641
1245,Studio type,"Batasan Hills, Quezon City","2,000,000",1,1,25,,121.096563,14.681641
1246,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-37-E,"Paligsahan, Quezon City","4,482,000",2,,36,,121.023475,14.631613
1247,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-09-I,"Paligsahan, Quezon City","4,140,000",2,,36,,121.023475,14.631613
1248,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-21-B,"Paligsahan, Quezon City","4,284,000",2,,36,,121.023475,14.631613
1249,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-21-D,"Paligsahan, Quezon City","4,284,000",2,,36,,121.023475,14.631613
1250,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-27-O,"Paligsahan, Quezon City","4,374,000",2,,36,,121.023475,14.631613
1251,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-35-H,"Paligsahan, Quezon City","4,464,000",2,,36,,121.023475,14.631613
1252,Ready For Occupancy 1 Bedroom Unit in New Manila Quezon City,"New Manila, Quezon City","7,363,174",1,1,36,,121.0306,14.61633
1253,"Redwoods Resorts Condo Unit in front of SM Fairview, beside new Ayala Terraces","Novaliches, Quezon City","6,000,000",3,2,73,,121.0614401,14.7359794
1254,"For Sale 1BR Unit Rosemont Towers, Panay Ave. Quezon City","Paligsahan, Quezon City","6,500,000",1,2,70,,121.026753,14.636066
1255,Cloverleaf Balintawak CondPre selling Beside Mall,Quezon City,"12,000,000",1,1,22,,121.0443089,14.6621443
1256,"1 Bedroom Condo Unit For Sale in Centro Tower, Kaunlaran, Quezon City","Kaunlaran, Quezon City","5,800,000",1,1,48,,121.04641,14.617893
1257,Grass Residences 1 bedroom condo unit near SM North Edsa for sale,"Santo Cristo, Quezon City","3,800,000",1,1,44,,121.0285953,14.6602471
1258,"MSG-08-1299: Foreclosed Residential - Condominium Units for Sale at Quezon City, Metr...","Paligsahan, Quezon City","4,004,250",,,53,,121.023475,14.631613
1259,"For Sale 2BR in Circulo Verde Majorca Residences, Bagumbayan Quezon City","Bagumbayan, Quezon City","11,500,000",2,2,68,,121.0879502,14.60204224
1260,For Sale: 2 Bedroom Unit at Suntrust Asmara Located in Quezon City,"New Manila, Quezon City","5,500,000",2,1,39,,121.0206193,14.6211392
1261,"2 Bedroom Condo unit & Parking in Skyvillas One Balete, New Manila Quezon City.","Kaunlaran, Quezon City","29,500,000",2,3,131,,121.04641,14.617893
1262,1 Bedroom Unit at Eastwood Excelsior Tower 2 For Sale,"Bagumbayan, Quezon City","3,900,000",1,1,36,,121.0789,14.60952
1263,Luxuriously Upgraded Combined 2 Bedroom Unit For Sale at Eastwood Le Grand 1,"Eastwood City, Quezon City","11,800,000",2,2,82,,121.0798,14.60892
1264,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-37-C,"Paligsahan, Quezon City","4,482,000",2,,36,,121.023475,14.631613
1265,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-34-G,"Paligsahan, Quezon City","4,464,000",2,,36,,121.023475,14.631613
1266,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-36-G,"Paligsahan, Quezon City","4,482,000",2,,36,,121.023475,14.631613
1267,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-08-H,"Paligsahan, Quezon City","4,104,000",2,,36,,121.023475,14.631613
1268,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-12-H,"Paligsahan, Quezon City","4,176,000",2,,36,,121.023475,14.631613
1269,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-17-B,"Paligsahan, Quezon City","4,230,000",2,,36,,121.023475,14.631613
1270,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-20-H,"Paligsahan, Quezon City","4,284,000",2,,36,,121.023475,14.631613
1271,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-27-H,"Paligsahan, Quezon City","4,356,000",2,,36,,121.023475,14.631613
1272,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-27-C,"Paligsahan, Quezon City","4,356,000",2,,36,,121.023475,14.631613
1273,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-27-E,"Paligsahan, Quezon City","4,356,000",2,,36,,121.023475,14.631613
1274,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-26-D,"Paligsahan, Quezon City","4,356,000",2,,36,,121.023475,14.631613
1275,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-29-E,"Paligsahan, Quezon City","4,392,000",2,,36,,121.023475,14.631613
1276,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-30-D,"Paligsahan, Quezon City","4,410,000",2,,36,,121.023475,14.631613
1277,2 Bedroom Unit For Sale in Suntrust Amadea Quezon City- AMAD-01-36-P,"Paligsahan, Quezon City","4,500,000",2,,36,,121.023475,14.631613
1278,"2 Bedrooms Condominium for Sale in Quezon City, Metro Manila",Quezon City,"9,500,000",2,2,81,,121.0443089,14.6621443
