,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
2380,Pasig Condo for Sale Phoenix Heights Penthouse unit with skyline view Nr. BGC,"Bagong Ilog, Pasig","35,000,000",5,4,550,,121.0692646,14.57193865
2381,Rush Sale! The Vantage at Kapitolyo Brand New Corner Unit for Sale!,"Kapitolyo, Pasig","16,200,000",3,2,89,,121.0599,14.57284
2382,"For Sale 2 Bedroom Condo Unit at Urban Deca Homes, Ortigas, Pasig City","Rosario, Pasig","2,700,000",2,1,30,,121.1016063,14.5894267
2383,"MSG-05-0093: Foreclosed Residential Condominium Unit (Studio Type) for Sale at Pasig,...","Santolan, Pasig","2,880,000",,,34,,121.087967,14.613073
2384,"MSG-08-0149: Foreclosed Residential  - Condominium Units for Sale at Pasig, Metro Man...","Rosario, Pasig","2,015,000",1,,20,,121.093682,14.5896939
2385,"MSG-17-0011: Foreclosed Residential Unit for Sale at Pasig, Metro Manila","Manggahan, Pasig","2,800,000",,,62,,121.093698,14.601887
2386,"MSG-08-0922: Foreclosed Residential - Condominium Units for Sale at Pasig, Metro Mani...","Santa Lucia, Pasig","3,430,000",,,43,,121.101245,14.583952
2387,"The Rochester Condominium 1Bedroom Unit for Sale in San Joaquin, Pasig-DE881812","San Joaquin, Pasig","3,047,000",1,1,28,,121.0774,14.55275
2388,Urgent!! For Sale 2 Bedroom Condo unit Furnished with balcony  and  Parking,"San Miguel, Pasig","5,800,000",2,1,64,,121.0900536,14.567591
2389,6k Monthly Preselling Pasig No DP Rent to Own 0% interest For Sale,"San Antonio, Pasig",,1,1,30,,121.061458,14.582707
2390,Studio Condominium Unit For Sale In Pasig Reserve Now Pay Later,"Ugong, Pasig","3,000,003",1,1,24,,121.072573,14.582943
2391,For Sale East of Galleria 2 Bedroom unit Residential Condominium in Pasig,"Ortigas CBD, Pasig","10,000,000",2,2,63,,121.059675,14.583771
2392,"For Sale Spacious 2-Bedroom Condo Unit at One Spatial Condo, Pasig","Dela Paz, Pasig","3,500,000",2,1,32,,121.0947,14.61745
2393,"For Sale: 3BR Condo atThe Vantage at Kapitolyo, Kapitolyo Pasig PHP 17.5M","Kapitolyo, Pasig","17,500,000",3,2,89,,121.0599,14.57284
2394,Affordable Rent To Own 1 Bedroom Condominium In Pasig Reserve Now Pay Later,"Ugong, Pasig","3,560,703",1,1,30,,121.072573,14.582943
2395,2 bedroom b,"Rosario, Pasig","2,900,000",2,1,30,,121.089097,14.588464
2396,"2 bedroom unit in Lumiere Residences, Pasig","Bagong Ilog, Pasig","7,425,000",2,1,56,,121.06934,14.565391
2397,For Sale Rent To Own Studio Unit 22.5sqm 10k Monthly near Ortigas CBD,"Ugong, Pasig","3,611,282",1,1,22,,121.072573,14.582943
2398,For Sale Studio 22sqm For Only 10k/month No Downpayment in C5 Pasig City,"Ugong, Pasig","3,600,000",1,1,22,,121.072573,14.582943
2399,"For Sale Residential Condominium The Vantage at Kapitolyo, Kapitolyo, Pasig City","Kapitolyo, Pasig","16,500,000",3,2,89,,121.060157,14.569208
2400,The Royalton Condominium Pasig City for Sale! 4 Bedrooms,"Oranbo, Pasig","60,000,000",4,4,220,,121.0648307,14.5759872
2401,"Newly Renovated 1 Bedroom With Parking At Malayan Plaza, Ortigas Center For Sale","San Antonio, Pasig","9,200,000",1,1,70,,121.061458,14.582707
2402,1 Bedroom Condominium unit with Balcony for sale in Pasig City,"Ortigas CBD, Pasig","15,000,000",1,1,75,,121.059675,14.583771
2403,"MSG-17-0013: Foreclosed Residential Unit for Sale at Pasig, Metro Manila","Manggahan, Pasig","2,800,000",,,62,,121.093698,14.601887
2404,Citadines Millenium Ortigas Studio Unit For sale,"San Antonio, Pasig","7,000,000",1,1,39,,121.0629605,14.58990148
2405,2 Bedroom unit In The Rochester Garder condominium No On the Spot Dowpayment,"San Joaquin, Pasig",,2,1,37,,121.0774,14.55275
2406,HE - For Sale: 1 Bedroom Unit in The Grove by Rockwell,"Ugong, Pasig","10,500,000",1,1,63,,121.0799823,14.5862617
2407,"35sqm 1 Bedroom Condo Unit For Sale at East Galleria in Ortigas CBD, Pasig City","Ortigas CBD, Pasig","6,000,000",1,1,35,,121.059675,14.583771
2408,"The Grove by Rockwell 2-Bedroom Fully Furnished Unit for Sale, Pasig City","Ugong, Pasig","18,500,000",2,2,80,,121.0799823,14.5862617
2409,2 bedroom Condominium for sale in Pasig City near Robinsons Galleria,"Ortigas Avenue, Pasig","21,000,000",2,2,87,,121.081755,14.590053
2410,"85 sqm Unit for Sale Mayan Residences, Pasig","Rosario, Pasig","14,824,000",3,2,85,,121.089097,14.588464
2411,For Sale Condo Unit at Tektite Tower West San Antonio Pasig City,"San Antonio, Pasig","13,440,000",1,1,112,,121.061458,14.582707
2412,"3 Bedroom unit 58sqm w/Balcony near BGC and SM Aura ,Market Market ,Uptown Mall","San Joaquin, Pasig","7,600,000",3,2,58,,121.075788,14.552166
2413,"1BR Unit for Sale in Kasara Urban Resort Residences, Pasig City","Ugong, Pasig","4,950,000",1,1,28,,121.072573,14.582943
2414,"3BR Penthouse Condo with20% (10M) Discount! RFO for Sale in Ortigas CBD, Pasig","Ortigas CBD, Pasig","40,161,888",3,5,203,,121.0585,14.58119
2415,"condo in kasara urban resort, pasig 1bedroom w/balcony rfo resort type for sale","Ugong, Pasig","4,200,000",1,1,30,,121.072573,14.582943
2416,DMCI Homes Lumiere Residences Pasig |2BR RFO,"Bagong Ilog, Pasig","7,425,000",2,1,56,,121.06934,14.565391
2417,Rush Sale The Sandstone at Portico 3 Bedroom near Estancia Capitol Commons Pasig,"Oranbo, Pasig","20,000,000",3,2,85,,121.064324,14.575822
2418,"For sale 1BR RFO unit promo 15% dp payable in 18 months in Bagong Ilog, Pasig","Bagong Ilog, Pasig","5,300,000",1,1,28,,121.06934,14.565391
2419,"Condo for sale with 2 bedrooms @bali oasis condo, santolan, pasig","Santolan, Pasig","5,000,000",2,1,39,,121.087967,14.613073
2420,Ready for Occupancy 1 Bedroom w/ Resorts type Swimming pool for sale in Pasig,"Ugong, Pasig","4,400,000",1,1,28,,121.0787,14.58264
2421,for sale 1 bedroom 27.5sqm ready for occupancy condo unit near bgc,"Bagong Ilog, Pasig","5,100,000",1,1,27,,121.06934,14.565391
2422,3 bedroom Condominium for sale in Pasig City,"Ugong, Pasig","37,000,000",3,4,232,,121.0799823,14.5862617
2423,"2BR Condo for Sale in The St. Francis Shangri-La Place, Ortigas Center, Mandaluyong -...","Ortigas CBD, Pasig","23,000,000",2,2,83,,121.059675,14.583771
2424,1 Bedroom Unit in Sapphire Bloc by Robinsons Land Corp - Frederick Sabinorio,"Ortigas CBD, Pasig","11,154,224",1,1,49,,121.059675,14.583771
2425,For Sale: The Sapphire Bloc 1 Bedroom Unfurnished Condo in Pasig city,"Ortigas CBD, Pasig","10,000,000",1,1,39,,121.063,14.58778
2426,3BR Condo for Sale The Sandstone at Portico Oranbo Pasig City Ortigas,"Oranbo, Pasig","20,000,000",3,2,85,,121.0661982,14.5747428
2427,"For Sale Condominium unit Exchange Regency, Ortigas Center, Pasig City","Ortigas CBD, Pasig","14,000,000",2,2,70,,121.0632844,14.5830985
2428,3BR 58sqm w/balcony 5% Discount Rent To Own near BGC Taguig City in Pasig,"San Joaquin, Pasig",,3,2,58,,121.0774,14.55275
2429,"For Sale  Residential Condominium  The Pearl Place  Ortigas Center, Pasig City","San Antonio, Pasig","4,000,000",1,1,24,,121.060418,14.57939473
2430,"FOR SALE: Php 23M The Royalton at Capitol Commons, Pasig City","Oranbo, Pasig","23,000,000",2,2,98,,121.0648307,14.5759872
2431,3BR unit for sale at Lumiere Residences – Pasig City,"Bagong Ilog, Pasig","10,000,000",3,3,83,,121.0669073,14.5697429
2432,Rockwell Vantage 36th Floor Corner Unit with Mountain Views for sale in Pasig,"Kapitolyo, Pasig","11,500,000",2,2,61,,121.060157,14.569208
2433,FOR SALE  Condominium Unit at  Pacific Place,"Ortigas CBD, Pasig","6,800,000",1,1,65,,121.0608529,14.5822543
2434,Lumiere Residences 1 Bedroom Condominium in Pasig City,"Bagong Ilog, Pasig","4,400,000",1,1,28,,121.06934,14.565391
2435,"For Sale 1 Bedroom for as low as 13k/ mos at Acacia Escalades, Pasig City","Manggahan, Pasig","3,708,172",1,1,32,,121.093698,14.601887
2436,"For Sale Residential Condominium The Vantage Kapitolyo, Kapitolyo, Pasig City","Kapitolyo, Pasig","16,500,000",3,2,89,,121.060157,14.569208
2437,For Sale: The Rochester 2 Bedroom Furnished Condominium in Pasig,"San Joaquin, Pasig","8,000,000",2,1,45,,121.0774,14.55275
2438,"For Sale Residential Condominium The Vantage Kapitolyo, Kapitolyo, Pasig City","Kapitolyo, Pasig","16,500,000",3,2,89,,121.060157,14.569208
2439,"Studio Condo for Sale in The Currency Tower, Ortigas Center, Pasig - RS4200781","Ortigas Avenue, Pasig","5,999,999",,1,25,,121.081755,14.590053
2440,"Studio Condo Unit for Sale in Shangri-La Place Ortigas Center, Mandaluyong","Ortigas CBD, Pasig","8,500,000",1,1,43,,121.0563368,14.58035271
2441,"For Sale: 3BR Condo in The Rochester Gardens – Parklane Tower, Pasig","San Joaquin, Pasig","8,400,000",3,2,58,,121.0774,14.55275
2442,"For Sale Brand New 3BR Condo Unit at The Vantage at Kapitolyo, Pasig","Kapitolyo, Pasig","20,520,000",3,3,114,,121.0599,14.57284
2443,For Sale Mayfield Park in Pasig 2 Bedroom Condo Minimum 10% Down Promo,"Rosario, Pasig",,2,1,48,,121.107667,14.59287
2444,Newly Turn Over Studio Unit For Sale At CDC Millenium Condominium Ortigas Center,"San Antonio, Pasig","8,000,000",1,1,40,,121.061458,14.582707
2445,Condo for sale1 Bedroom with balcony The Grove by Rockwell Pasig,"Ugong, Pasig","9,975,000",1,1,46,,121.0799823,14.5862617
2446,"Pasig Condo for Sale Phoenix Heights 5BR Penthouse Nr. Greenhills,Eastwood,Libis","Ugong, Pasig","35,000,000",5,4,550,,121.0692646,14.57193865
2447,"MSG-08-0137: Foreclosed Residential  - Condominium Units for Sale at Pasig, Metro Man...","Manggahan, Pasig","1,674,300",,,22,,121.092648,14.60868451
2448,"MSG-25-0025: Foreclosed Residential Condominium at Rosario, Pasig","Rosario, Pasig","2,800,000",1,,30,,121.093682,14.5896939
2449,"MSG-25-0110: Foreclosed Residential Condominium at Rosario, Pasig","Rosario, Pasig","2,800,000",1,,28,,121.093682,14.5896939
2450,"MSG-08-0133: Foreclosed Residential  - Condominium Units for Sale at Pasig, Metro Man...","Caniogan, Pasig","4,615,000",1,,64,,121.0774134,14.5732162
2451,"MSG-08-0143: Foreclosed Residential  - Condominium Units for Sale at Pasig, Metro Man...","Manggahan, Pasig","4,340,000",,,62,,121.093698,14.601887
