,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
42,Air Residences 1Bedroom 26 SQM In Ayala Makati for sale,"San Antonio, Makati","6,500,000",1,1,26,,121.009139,14.563865
43,26sqm 1 Bedroom Condo unit with Balcony for Sale in Air Residences Makati City,"San Antonio, Makati","7,000,000",1,1,26,,121.0123638,14.5624263
44,Avida Settings Asten,"San Antonio, Makati","12,000,000",2,2,98,,121.009139,14.563865
45,"Brand New 2BR Condominium unit for sale in The Proscenium, Lincoln Tower, Makati","Rockwell, Makati","36,000,000",2,2,119,,121.036339,14.562949
46,"2 Storey Penthouse for Sale in Salcedo Village, Makati City","Salcedo Village, Makati","68,000,000",4,5,410,,121.0206028,14.5596699
47,"For Sale 30 sqm Studio Condo Unit, The Gentry Residences Salcedo Village, Makati","Salcedo Village, Makati","7,800,000",1,1,30,,121.0208218,14.5583032
48,"For Sale Ready for Occupancy 2 Bedroom Unit at San Lorenzo Place, Makati","Magallanes, Makati","8,429,008",2,2,48,,121.017778,14.534456
49,"For Sale 2BR Condo unit in Circuit Makati - Solstice Tower Ayala Avenue, Makati","Ayala Avenue, Makati","17,000,000",2,2,80,,121.0184162,14.5738205
50,For Sale: 2 Bedroom Special Unit with Balcony in Avida Towers Asten,"San Antonio, Makati","14,000,000",2,2,74,,121.0069503,14.5595332
51,"2 Bedroom Unit For Sale at Avida Towers Asten, San Antonio, Makati City","San Antonio, Makati","17,249,100",2,2,77,,121.009139,14.563865
52,"For Sale Furnished 1BR With Balcony, Amenity View, SMDC Air Residences, Makati","San Antonio, Makati","6,393,000",1,1,26,,121.009139,14.563865
53,For Sale 3BR unit with View of pool and greenery in Two Roxas Triangle Makati,"Urdaneta, Makati","110,000,000",3,3,331,,121.0285196,14.5600153
54,"For Sale: Special 2 Bedroom Unit  in a Low Rise Condominium, Makati","San Antonio, Makati","16,000,000",2,2,52,,121.0129,14.56407
55,1 Bedroom condotel in Makati near Glorieta / Greenbelt,"Ayala Avenue, Makati","6,393,000",1,1,24,,121.0218,14.55659
56,Ready for Occupancy Condominium For Sale in Makati Solstice Tower 2,"Carmona, Makati","14,000,000",1,1,69,,121.018458,14.57608
57,2 Bedroom RFO Condo for Sale in San Lorenzo Place Makati City near Greenbelt,"Chino Roces, Makati","6,668,000",2,1,38,,121.0137,14.55211
58,"SMDC Condo Unit: 1 Bedroom unit for sale in Mint Residences, Makati","Bangkal, Makati",,1,1,23,,121.011528,14.543799
59,2 Bedrooms Rent to Own Condo in Makati San Lorenzo Place 30k Monthly RFO,"San Lorenzo, Makati","6,000,006",2,1,38,,121.0135893,14.5515877
60,For sale Lovely Two Bedroom with Balcony in Makati,"Carmona, Makati","23,000,000",2,2,94,,121.018458,14.57608
61,2 - Bedroom Condo Unit RFO in San Lorenzo Place Makati For Sale NO DP 5% OFF!,"San Lorenzo, Makati","7,000,000",2,1,38,,121.0135893,14.5515877
62,RFO Condo 2 bedroom 25K Monthly Condo Makati Rent to Own Ayala,"San Lorenzo, Makati","6,600,000",2,1,38,,121.019175,14.550759
63,"For Sale: Lowest 1 Bedroom Condo Unit in Avida Towers Asten, Makati","San Antonio, Makati","9,549,485",1,1,46,,121.0069503,14.5595332
64,One Antonio Lowrise Condo for sale Makati RFO Up to 10% Discount,"San Antonio, Makati","18,100,000",2,1,52,,121.009139,14.563865
65,Studio Unit for as low as 5k/month in the City of Makati,"Bangkal, Makati","6,000,000",1,1,23,,121.0157,14.5458
66,"For Sale: 266sqm 3 Bedroom Pre-Selling Condo Unit in Park Central Towers, Makati","Urdaneta, Makati","110,027,000",3,2,266,,121.0246,14.5587696
67,Pre-selling 2 Bedroom at Mergent Residences For Sale in Makati City,"Poblacion, Makati","29,920,353",2,1,106,,121.032076,14.56568
68,1 Bedroom in Makati City View,"Bangkal, Makati","6,920,518",1,1,25,,121.011528,14.543799
69,Studio Unit for Sale Avida Makati Southpoint,"Bangkal, Makati",,1,1,22,,121.01369451527,14.552025059485
70,Ready for Occupancy 2BR Move in Agad Rent to own condo in Makati near MRT,"Chino Roces, Makati","6,608,448",2,1,27,,121.0137,14.55211
71,"Avida Towers Asten Tower 3, 2 bedroom for sale in San Antonio, Makati","San Antonio, Makati","18,000,000",2,1,77,,121.009139,14.563865
72,For Sale Three Bedroom Condominium Lorraine at The Proscenium Rockwell Makati,"Poblacion, Makati","50,000,000",3,3,152,,121.032076,14.56568
73,For Sale 2 Bedroom 104 sqm Shang Salcedo Place Salcedo Village with parking,"Salcedo Village, Makati","28,000,000",2,4,104,,121.0201753,14.56149604
74,1 Bedroom | Ready For Occupancy | Makati,"San Antonio, Makati","6,000,000",1,1,26,,121.009139,14.563865
75,"Kroma Tower at Dela Rosa, Makati City","San Lorenzo, Makati","21,000,000",2,1,90,,121.0168664,14.5585298
76,RFO - Low Rise Low Density 2 Bedroom Condo Unit For Sale - Makati City,"Legazpi Village, Makati","16,099,800",2,1,52,,121.017742,14.554848
77,"58 sqm, 2BR Unit For Sale Brio Tower in Makati, EDSA Guadalupe near Rockwell","Guadalupe Viejo, Makati","6,600,000",2,1,58,,121.040676,14.564421
78,Studio unit for sale at Signa Designer Residences,"Bel-Air, Makati","9,300,000",1,1,37,,121.0169571,14.5592355
79,Rent to own 1 Bedroom condominium For Sale in Makati CBD,"San Antonio, Makati","7,537,000",1,1,32,,121.02245,14.558487
80,Spacious 3-Bedroom Unit For Sale at Kingswood in Makati City,"La Paz, Makati","6,800,000",3,3,77,,121.012213,14.566788
81,"4 Parking Penthouse Condo for Sale Two Roxas Triangle Paseo de Roxas, Makati","Paseo de Roxas, Makati","257,003,000",4,4,481,,121.0285196,14.5600153
82,Lincoln Proscenium at Rockwell Makati,"Rockwell, Makati","19,500,000",1,1,64,,121.0371989,14.5662972
83,3 BR Midrise Condo For Sale in Avida One Antonio Makati near Greenbelt,"San Antonio, Makati","18,739,900",3,2,66,,121.009139,14.563865
84,For Sale Studio in Manansala Rockwell Makati,"Rockwell, Makati","10,800,000",1,1,36,,121.0384946,14.5643958
85,"22 sqm Avida Towers Asten Studio For Sale in San Antonio, Makati City","San Antonio, Makati","4,300,000",1,1,22,,121.0069503,14.5595332
86,"Fully Furnished Studio Unit For Sale at Avida Towers Asten 2 San Antonio, Makati","San Antonio, Makati","4,200,000",1,1,24,,121.0069503,14.5595332
87,"SMDC Air Residences, 1 bedroom for sale","San Antonio, Makati","8,183,610",1,1,26,,121.009139,14.563865
88,Makati City 3 bedroom unit 113 sqm For Sale in Callisto,"Carmona, Makati","26,700,000",3,3,113,,121.0191645,14.5751553
89,30K Monthly RFO/RTO Transit-Oriented 2BR 48sqm Condo For Sale in Makati City,"Magallanes, Makati","7,732,024",2,2,44,,121.0135893,14.5515877
90,"For Sale High End Condo - Parkford Suites in Legazpi Village, Makati","Legazpi Village, Makati",,3,4,181,,121.0141682,14.5560869
91,"3 Bedroom Unit For Sale In The Proscenium Residences Rockwell, Makati","Rockwell, Makati","43,000,000",3,3,147,,121.036339,14.562949
92,Studio Condominium unit for sale in Salcedo SkySuites Makati,"Salcedo Village, Makati","9,926,000",1,1,36,,121.0237865,14.56161652
93,"For Sale Rent to Own 2 Bedroom Condo Unit in Magallanes, Makati City","Magallanes, Makati","6,684,048",2,1,38,,121.017778,14.534456
94,2-Bedroom Ready for Occupancy in san lorenzo place Makati City,"Chino Roces, Makati","6,000,000",2,1,38,,121.0137,14.55211
95,kroma tower 1 bedroom for sale in makati,"San Lorenzo, Makati","11,000,000",1,1,56,,121.0168664,14.5585298
96,"For Sale Fully Furnished Studio Condo Unit in Paseo De Roces, Makati","Legazpi Village, Makati","4,900,000",1,1,25,,121.0113325,14.5563435
97,"3BR Condo For Sale with 2 Parking, Garden Towers Tower 2, Ayala Center in Makati","San Lorenzo, Makati","68,000,000",3,3,207,,121.019175,14.550759
98,"3 Bedroom Condo Unit For Sale in Garden Towers Tower 2, Ayala Center Makati City","San Lorenzo, Makati","68,000,000",3,3,207,,121.019175,14.550759
99,For Sale 2 Bedroom in Joya Loft Rockwell Makati,"Rockwell, Makati","38,500,000",2,2,118,,121.0376942,14.56510718
