,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
1188,Fort BGC One Serendra West Tower Condo for Sale Two Bedroom,"Fort Bonifacio, Taguig","63,000,000",2,2,140,,121.0499855,14.546318
1189,"2 Bedroom Condo for Sale in Cypress Tower, Taguig","Ususan, Taguig","3,960,000",2,1,46,,121.0581947,14.5291613
1190,"The Montane Brand New 1-Bedroom Condominium Unit for Sale in BGC, Taguig City","Fort Bonifacio, Taguig","10,400,000",1,1,36,,121.050318,14.540867
1191,"Studio Condo Unit, Verve Residences Tower One, BGC for Sale","Fort Bonifacio, Taguig","9,000,000",1,1,37,,121.051226,14.54795811
1192,"FOR SALE Barely Used 2 Bedroom Unit with Parking situated in Cedar Crest, Ac","Ususan, Taguig",,2,1,64,,121.064979,14.521587
1193,"Studio Unit Two Maridien Residences, BGC Taguig City","Fort Bonifacio, Taguig","9,000,000",1,1,36,,121.05008,14.54844
1194,Reduced Pricing Hurry! Corner 1BR Unit  in Venice 66 sqm with big balcony,"McKinley Hill, Taguig","9,800,000",1,1,66,,121.0502,14.53352
1195,"2 Bedroom Unit for Sale at One McKinley Place BGC in Fort Bonifacio, Taguig City","Fort Bonifacio, Taguig","28,000,000",2,2,114,,121.045392,14.549526
1196,"4BR Condominium For Sale in Horizon Homes, Shangri-La at the Fort, BGC Taguig","Fort Bonifacio, Taguig","300,000,000",4,,418,,121.0462361,14.5524616
1197,"1 Bedrrom Unit For Sale at Avida Cityflex Tower 2, BGC, Taguig City","Fort Bonifacio, Taguig","8,500,000",1,1,36,,121.050318,14.540867
1198,Clean Studio type Condominium for Sale in Avida City Flex Towers BGC Taguig,"Fort Bonifacio, Taguig","6,450,000",1,1,36,,121.050318,14.540867
1199,"For Sale Luxurious 4BR unit in Horizon Homes, Shangri-La at the Fort in Taguig","Fort Bonifacio, Taguig","309,000,000",4,4,418,,121.0462361,14.5524616
1200,"Fire Sale! 3BR Condo in The Suites, BGC - For Sale in BGC Taguig","Fort Bonifacio, Taguig","89,870,000",3,3,209,,121.047615,14.5510347
1201,"2 Bedroom Condominium with Golf Course View for sale at Bellagio Tower 2, Taguig","Fort Bonifacio, Taguig","18,900,000",2,2,91,,121.0439,14.55194
1202,"For Sale Fully Furnished 1-Bedroom Unit at Avida Towers BGC, Taguig City","Fort Bonifacio, Taguig","7,500,000",1,1,36,,121.050318,14.540867
1203,Fully Furnished with Balcony 1BR in One Maridien BGC Taguig,"Fort Bonifacio, Taguig","16,000,000",1,1,60,,121.050318,14.540867
1204,For sale 3 bedroom in Grand hyatt,"Fort Bonifacio, Taguig","127,000,000",4,,300,,121.050318,14.540867
1205,"Rush Sale From 24M down to 20M 2 Bedroom Uptown Parksuites BGC, Taguig City","Fort Bonifacio, Taguig","20,000,000",2,3,78,,121.050318,14.540867
1206,"Condominium For Sale: 3BR interior designed Essensa East Forbes, Taguig City","Fort Bonifacio, Taguig","98,560,000",3,3,290,,121.0469929,14.5434943
1207,1 BR  36.91 sqm Condo Unit at Montane (Avida) at Taguig FOR SALE,"Fort Bonifacio, Taguig","9,500,000",1,1,36,,121.0528126,14.5561328
1208,"2 Bedroom Condo Unit for Sale at Acacia Estate Rosewood DMCI in Ususan, Taguig","Ususan, Taguig","6,800,000",2,1,60,,121.0634515,14.5278571
1209,"3 Bedroom Condominium For Sale Located in 8 Forbestown Road, BGC Taguig City","Fort Bonifacio, Taguig","42,000,000",3,1,147,,121.050318,14.540867
1210,For Sale: 2-Bedroom Condominium Unit with Parking at Rosewood Pointe in Taguig,"Ususan, Taguig","5,000,000",2,1,61,,121.065172,14.531149
1211,Rush For Sale I 2 Bedroom Loft Type Unit with Balcony in Two Serendra BGC Taguig,"Fort Bonifacio, Taguig","24,800,000",2,2,92,,121.0539224,14.54884675
1212,"Arya Residences T2: 2BR For Sale, 126 sqm, Semi-Furnished, 1 parking, P38M","Fort Bonifacio, Taguig","38,000,000",2,3,126,,121.0489714,14.5463413
1213,Cheapest 2 Bedroom unit with Parking in BGC!  Taguig Trion Towers FOR SALE,"Fort Bonifacio, Taguig","12,500,000",2,2,52,,121.050318,14.540867
1214,"2 Bedroom Condo at One Uptown Residence for Sale across Uptown Mall, Taguig","Fort Bonifacio, Taguig","19,980,000",2,2,74,,121.050904,14.5572563
1215,For Sale Executive 1BR Brand New One at Uptown Residence Megaworld Taguig,"Fort Bonifacio, Taguig","12,000,000",1,1,45,,121.050904,14.5572563
1216,"Condo For Sale 1BR Unit at Avida Towers 34th St BGC in Fort Bonifacio, Taguig","Fort Bonifacio, Taguig","12,400,000",1,1,49,,121.050318,14.540867
1217,Rush For Sale Avida 34th 1BR with Parking Tower BGC Taguig,"Fort Bonifacio, Taguig","7,900,000",1,1,37,,121.050318,14.540867
1218,1br Condo For Sale In Bgc Near Highstreet,"Fort Bonifacio, Taguig","13,500,000",1,1,65,,121.05008,14.54844
1219,For Sale Uptown Ritz 2 Bedroom with Balcony in BGC,"Fort Bonifacio, Taguig","27,500,000",2,2,93,,121.0535454,14.5576343
1220,"3 Bedroom Condominium For Sale in BGC Near Uptown Mall, Taguig","Fort Bonifacio, Taguig","25,000,000",3,2,89,,121.050318,14.540867
1221,Corner 2BR w/ Parking Trion Tower 3 Condo in BGC Bonifacio Global City Taguig,"Fort Bonifacio, Taguig","15,000,000",2,2,59,,121.0494,14.54595
1222,"Grand Hyatt Residences 5 Bedroom Unit For Sale, Bonifacio Global City","Fort Bonifacio, Taguig","150,000,000",5,4,300,,121.050318,14.540867
1223,"For Sale: 3-Bedroom Unit in The Suites at One Bonifacio High Street, Taguig City","Fort Bonifacio, Taguig","181,500,000",3,3,330,,121.050318,14.540867
1224,"2 Bedroom for Sale at Icon Residences! in Fort Bonifacio, Taguig","Fort Bonifacio, Taguig","25,000,000",2,3,114,,121.0423546,14.5491648
1225,"5BR Penthouse For Sale in St. Moritz Private Residences McKinley West, Taguig","McKinley Hill, Taguig","87,000,000",5,,220,,121.0553,14.53712
1226,"Uptown Parksuites, Prime Corner Unit for Sale in Fort Bonifacio Taguig","Fort Bonifacio, Taguig","20,000,000",2,2,78,,121.0513651,14.5587092
1227,"For Sale: 225 sqm 3 bedroom Condo Unit in Grand Hyatt Residences, Taguig","Fort Bonifacio, Taguig","93,000,000",3,2,225,,121.0524273,14.5573955
1228,"Semi Furnished 3 Bedroom For Sale in Avida Towers, BGC, Taguig","Fort Bonifacio, Taguig","25,000,000",3,3,99,,121.050318,14.540867
1229,"3-Bedroom Unit for Sale in Grand Hyatt Residences, BGC, Taguig City","Fort Bonifacio, Taguig","88,000,000",3,,225,,121.0524273,14.5573955
1230,For Sale 2 Bedroom 2 T&B Furnished With Parking Two Serendra Red Oak Bldg Taguig,"Fort Bonifacio, Taguig","24,500,000",2,2,95,,121.0539224,14.54884675
1231,"For Sale: 225 sqm 3 bedroom Condo Unit in Grand Hyatt Residences, Taguig","Fort Bonifacio, Taguig","93,000,000",3,2,225,,121.0524273,14.5573955
1232,"1 Bedroom Condominium Unit for sale at Times Square West, Taguig","Fort Bonifacio, Taguig","7,200,000",1,1,40,,121.0517738,14.5594255
1233,"Corner, Interior Decorated Unit in Blue Sapphire Residences, BGC","Fort Bonifacio, Taguig","36,000,000",3,3,134,,121.050318,14.540867
1234,"Four (4) Bedroom Condo for Sale: Fort Victoria, Taguig City","Fort Bonifacio, Taguig","35,000,000",4,3,140,,121.050318,14.540867
1235,"Nicely Furnished 1-Bedroom Loft-Type Unit For Sale in Bellagio 3, BGC, Taguig","Fort Bonifacio, Taguig","17,000,000",1,2,58,,121.050318,14.540867
1236,"3 Bedroom Condominium For Sale in BGC Near Uptown Mall in Fort Bonifacio, Taguig","Fort Bonifacio, Taguig","25,000,000",3,2,89,,121.0535454,14.5576343
1237,"4 Bedroom Condo unit at The Suites, For Sale!","Fort Bonifacio, Taguig","130,000,000",4,4,286,,121.050318,14.540867
1238,"For Sale 2 Bedroom Condominium Loft Type in Fort Victoria Towers, Taguig City","Fort Bonifacio, Taguig","8,000,000",2,2,44,,121.0456818,14.5469433
1239,"For Sale Upgraded 3BR Penthouse in Bellagio Tower 3, BGC, Taguig City","Fort Bonifacio, Taguig","220,000,000",3,,546,,121.04157,14.5514843
1240,"For Sale: 3-Bedroom Unit (141 sqm) in Icon Plaza, BGC Taguig","Fort Bonifacio, Taguig","45,000,000",3,,141,,121.045716,14.547869
1241,"For Sale: 3 Bedroom The Veranda, Arca South (READY FOR OCCUPANCY)","Western Bicutan, Taguig","27,000,000",3,3,110,,121.0486932,14.50492289
1242,"2 Bedroom Condo for Sale in Bonifacio Global City, Taguig near Uptown Mall","Fort Bonifacio, Taguig","12,000,000",2,2,55,,121.0528126,14.5561328
1243,"Mckinley Garden Villas, Mckinley Hill, Taguig City 2 Bedroom Condo Unit For Sale","McKinley Hill, Taguig","19,000,000",2,2,91,,121.0531818,14.53824575
1244,"For Sale 2 Bedroom Unit at The Trion Towers in Bonifacio Global City, Taguig","Fort Bonifacio, Taguig","14,884,884",2,2,54,,121.0494,14.54595
1245,"1 Bedroom Unit For Sale in Grace Residences by SMDC, Taguig City","Fort Bonifacio, Taguig","4,720,000",1,1,36,,121.0614338,14.5307392
1246,"Studio Condo Unit For Sale at The Venice in Taguig, Metro Manila","McKinley Hill, Taguig","6,950,000",1,,41,,121.0502,14.53352
1247,"1 Bedroom unit for sale at One Uptown Residence, Fort Bonifacio, Taguig","Fort Bonifacio, Taguig","7,800,000",1,1,33,,121.050318,14.540867
1248,For Sale 2 Bedroom Unit with Parking in Acacia Estates Taguig,"Bambang, Taguig","6,500,000",2,1,65,,121.0656291,14.5201708
1249,Condo For Sale 2BR unit with parking in Mulberry Place Acacia Estates Taguig,"Ususan, Taguig","7,300,000",2,1,64,,121.0657426,14.5230841
1250,"For Sale Urban Villa Condominium Unit in Two Maridien, BGC Taguig","Fort Bonifacio, Taguig","55,000,000",3,3,185,,121.05008,14.54844
1251,High=end 3 Bedroom for Sale at Regent Parkway Fort Bonifacio Global City Taguig!,"Fort Bonifacio, Taguig","80,640,000",3,3,306,,121.0463868,14.5442284
1252,"3BR Penthouse condo in BGC for sale in Fort Bonifacio, Taguig","Fort Bonifacio, Taguig","32,278,479",3,3,157,,121.0494,14.54595
1253,"Unfurnished 1 Bedroom for Sale in Uptown Parksuites, BGC Taguig","Fort Bonifacio, Taguig","11,000,000",1,1,37,,121.050318,14.540867
1254,"For Sale: Fully Furnished Studio with Parking at Infinity Tower, BGC Taguig","Fort Bonifacio, Taguig","8,200,000",1,1,37,,121.050318,14.540867
1255,Corner 3BR 1MR 2 Parking Trion Tower 3 Condo Flat in BGC Taguig City,"Fort Bonifacio, Taguig","27,200,000",3,3,98,,121.0494,14.54595
1256,BGC Taguig Two Serendra 3 Bedroom Condominium Unit For Sale,"Fort Bonifacio, Taguig","37,260,000",3,2,127,,121.0539224,14.54884675
1257,"For Sale 2 Bedroom in One Uptown Residence in BGC, Taguig City","Fort Bonifacio, Taguig","14,000,000",2,2,69,,121.050318,14.540867
1258,"2 Bedroom Unit for Sale at The Suites in Fort Bonifacio, Taguig","Fort Bonifacio, Taguig","70,000,000",2,2,136,,121.047615,14.5510347
1259,"For Sale Studio with Balcony Verve Tower 2 in Fort Bonifacio, Taguig","Fort Bonifacio, Taguig","9,700,000",1,1,46,,121.050318,14.540867
1260,"The Suites at One Bonifacio High Street: 4BR For Sale, 277 sqm, Taguig City","Fort Bonifacio, Taguig","160,000,000",4,4,277,,121.050318,14.540867
1261,Pre-selling: 4-Bedroom Penthouse Unit at Park Triangle Residences in Taguig City,"Fort Bonifacio, Taguig","80,000,000",4,4,232,,121.0537,14.55292
1262,For Sale Brand New 2bedroom with Parking/Acacia Estate Taguig City,"Ususan, Taguig","6,500,000",2,1,63,,121.0650269,14.52525
1263,"Rush Sale 4 Bedroom with 2 parking at Ivorywood Residences near BGC, Taguig","Ususan, Taguig","15,500,000",4,2,148,,121.065172,14.531149
1264,"1BR Condominium for sale Florence Residences, McKinley Hill, Taguig","McKinley Hill, Taguig","11,000,000",1,1,52,,121.0553,14.53712
1265,"2BR at 8 Forbestown Road for Sale - Bonifacio Global City, Taguig","Fort Bonifacio, Taguig","30,000,000",2,3,114,,121.050318,14.540867
1266,1BR Fully Furnished Arya Residences - BGC Taguig,"Ususan, Taguig","20,000,000",1,1,75,,121.065172,14.531149
1267,"Best Deal 2 Bedroom Condo Unit For Sale in Uptown Ritz BGC, Taguig","Fort Bonifacio, Taguig","19,673,500",2,2,80,,121.0535454,14.5576343
1268,"For Sale: 3 bedroom with golf view in Regent Parkway, BGC, Taguig City","Fort Bonifacio, Taguig","82,880,000",3,3,306,,121.0463868,14.5442284
1269,"For Sale!! 3 Bedroom Loft Type One Maridien Bgc! in Fort Bonifacio, Taguig","Fort Bonifacio, Taguig","70,000,000",3,3,190,,121.048118,14.5488356
1270,Price Drop 2 bedroom Uptown Parksuites Landers BGC Taguig 20M only,"Fort Bonifacio, Taguig","20,000,000",2,2,78,,121.0513651,14.5587092
1271,"4 Bedroom Penthouse For Sale in Uptown Ritz, BGC, Taguig City","Fort Bonifacio, Taguig","52,900,000",4,,131,,121.050318,14.540867
1272,3 BR with Balcony and Maid's Room at The Aston-Two Serendra For Sale in Taguig,"Fort Bonifacio, Taguig","35,000,000",3,3,105,,121.050318,14.540867
1273,"For Sale Fully Furnished Studio Unit in Two Serendra - The Dolce Tower, Taguig","Fort Bonifacio, Taguig","11,000,000",1,1,46,,121.050318,14.540867
1274,"Fully Furnished 2 Bedroom Unit For Sale in Bellagio Tower 1, Taguig","Fort Bonifacio, Taguig","27,000,000",2,2,97,,121.04131,14.5526548
1275,"Unfurnished 1 Bedroom Condominium unit for Sale at Avida 34th, Taguig","Fort Bonifacio, Taguig","9,000,000",1,1,36,,121.050318,14.540867
1276,"For Sale Spacious 1 Bedroom with Amenities, Fort Strip View | Icon Plaza, Taguig","Fort Bonifacio, Taguig","13,500,000",1,1,60,,121.045716,14.547869
1277,"For Sale 3-Bedroom Fully Furnished Condominium Unit at Park West, Taguig","Fort Bonifacio, Taguig","32,000,000",3,2,106,,121.0518,14.55795
