,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
835,San Juan City Townhouse with 4 Bedrooms & 1 Car Garage For Sale 14.5M - LC,"Balong-Bato, San Juan","14,500,000",4,,178,74,121.0258632,14.6084757
836,"4 Bedrooms Townhouse for sale in Averilla, San Juan City","Santa Lucia, San Juan","33,800,000",4,,280,88,121.0342285,14.5982881
837,Townhouse in San Juan City For Sale with 3 Bedrooms & 1 Car Garage 8.5M - LC,"Balong-Bato, San Juan","8,500,000",3,,130,41,121.0258632,14.6084757
838,San Juan 3 Bedrooms Townhouse For Sale 8.5M- PME,"Balong-Bato, San Juan","8,500,000",3,,130,41,121.0258632,14.6084757
839,"RFO Prime 3BR Townhouse for Sale in Benitez Courtyard, Pasadeña, San Juan|Unit N","Pasadeña, San Juan","25,900,000",3,,192,,121.0340764,14.6087952
0,San Juan near Aurora Blvd - adjacent residential lots 501 sqm and 561 sqm,"Balong-Bato, San Juan","116,820,000",,,,1062,121.0258632,14.6084757
1,"For Sale: Vacamt Residential Lot in Addition Hills, San Juan City","Addition Hills, San Juan","55,080,000",,,,306,121.0389312,14.5939458
2,"For Sale 1,062 sqm San Juan Property near Aurora, SM Sta. Mesa",San Juan,"138,060,000",,,,1062,121.2861642,14.6036614
3,"Greenhills, San Juan Prime Commercial lot for sale","Greenhills, San Juan","330,000,000",,,,800,121.0468908,14.6011932
4,"Residential Lot For Sale in San Juan near Greenhills, Xavier and ICA","Little Baguio, San Juan","66,500,000",,,,387,121.0371886,14.6014254
5,"For Sale: Prime, Corner Lot near F. Blumentritt, San Juan City","Pedro Cruz, San Juan","30,000,000",,,,331,121.0264229,14.6050714
6,"Batis, San Juan 333 sqm Lot For Sale near N. Domingo","Batis, San Juan","32,500,000",,,,333,121.0262408,14.5998868
7,"For Sale Property in Eisenhower Street, Greenhills in Greenhills, San Juan","Greenhills, San Juan","350,000,000",,,,1000,121.0468908,14.6011932
8,For Sale: 290 square meters Residential Lot in San Juan City,San Juan,"26,100,000",,,,290,121.2861642,14.6036614
9,"288 sqm Lot For Sale in Doña Filomena Subdivision in West Crame, San Juan City","West Crame, San Juan","23,000,000",,,,288,121.049992,14.6062331
10,Lots For Sale Good For Commercial & Residential Development in San Juan,"Balong-Bato, San Juan",,,,,1062,121.0258632,14.6084757
11,"CLO - For Sale: 1,403 sqm Commercial lot along Ortigas Ave, San Juan","Greenhills, San Juan",,,,,1403,121.0468908,14.6011932
12,Prime Corner Lot near P. Guevarra St.,"Addition Hills, San Juan","50,000,000",,,,283,121.0389312,14.5939458
13,"1,456 sqm, Lot Petron P Guevarra P. Parada, San Juan","Santa Lucia, San Juan","265,000,000",,,,1456,121.0342285,14.5982881
14,East Greenhills Prime Corner Vacant Lot For Sale,"Greenhills, San Juan","278,610,000",,,,753,121.43876,14.600676
15,Residential Lot for sale in North Greenhills Village San Juan City,"Greenhills, San Juan","190,000,000",,,,600,121.04046,14.63731
16,San Juan Lot for Sale,"Onse, San Juan","10,500,000",,,,126,121.0317581,14.6011173
17,Prime Location Corner Lot For Sale in San Juan City,"Greenhills, San Juan",,,,,677,121.0468908,14.6011932
18,S-L0002-SJ Vacant Lot for Sale in in F. Manalo St. San Juan,"Batis, San Juan","36,000,000",,,,602,121.02557,14.60025
19,East Greenhills Vacant Lot San Juan,"Greenhills, San Juan","192,000,000",,,,640,121.43876,14.600676
20,"For sale Commercial Lot in Ortigas Ave., Green Hills, San Juan City","Greenhills, San Juan","620,800,000",,,,1552,121.2861642,14.6036614
21,454sqm Residential/Commercial Lot for Sale beside LRT-2 J. Ruiz Station,"Salapan, San Juan","15,000,000",,,,454,121.22609,14.61151
22,"Safe, Secured, Quiet San Juan, Metro Manila Lot for sale","Onse, San Juan","13,500,000",,,,225,121.03239590264,14.60066492439
23,For Sale Residential Vacant Lot at Wilson Circle Greenhills San Juan City,"Greenhills, San Juan","285,000,000",,,,1000,121.0468908,14.6011932
24,"For Sale Vacant Lot in Addition Hills, San Juan","Addition Hills, San Juan","55,080,000",,,,306,121.0389312,14.5939458
25,"San juan lot for sale (commercial or residential use), Balong-Bato San Juan","Balong-Bato, San Juan",,,,,1062,121.0258632,14.6084757
