,listing,location,price,bedroom_num,bathroom_num,floor_area,longitude,latitude,city
56,2bedroom apartment tejeron santa ana p16k monthly,"santa ana, manila",16000.0,2.0,1.0,75.0,121.0135541,14.5822048,manila
57,"two (2) br apartment with garage and patio, newly renovated","paco, manila",20000.0,2.0,1.0,80.0,121.00021,14.57636,manila
58,1 bedrooom condominium-style room for rent,"socorro, quezon city",11000.0,1.0,1.0,30.0,121.056446,14.617564,quezon
59,"2 bedroom apartment in cubao nr. mall, hospitals & school, quezon city","socorro, quezon city",30000.0,2.0,2.0,140.0,121.056446,14.617564,quezon
60,"2 bedroom apartment for rent in 40 - 14th avenue, murphy quezon city","socorro, quezon city",20000.0,2.0,1.0,100.0,121.056446,14.617564,quezon
61,3 bedroom apartment for rent in quezon city,"socorro, quezon city",30000.0,3.0,1.0,100.0,121.056446,14.617564,quezon
62,"apartment 1 bedroom unit, bare for rent in cubao, quezon city","cubao, quezon city",16000.0,1.0,1.0,50.0,121.0572,14.61777,quezon
63,"2 storey apartments for rent in 18th ave. cubao, quezon city","cubao, quezon city",35000.0,2.0,2.0,150.0,121.0572,14.61777,quezon
64,"apartment 1 bedroom unit, bare for rent in cubao, quezon city","cubao, quezon city",13000.0,1.0,1.0,30.0,121.0572,14.61777,quezon
65,mini apartment in cubao,"cubao, quezon city",12000.0,1.0,1.0,24.0,121.0572,14.61777,quezon
66,"2 bedrooms apartment for lease at robinson circle, pasig for php 22,000 monthly","oranbo, pasig",22000.0,2.0,2.0,76.0,121.064324,14.575822,pasig
67,"valle verde 6, semi furnished 3br apartment","ugong, pasig",60000.0,3.0,2.0,145.0,121.0755364,14.58343059,pasig
68,"affordable @ prime ortigas, pasig  location - 1 bedroom apartment","san antonio, pasig",16000.0,1.0,1.0,31.0,121.061458,14.5739038,pasig
69,lady bedspacer in highway hills (mandaluyong),"highway hills, mandaluyong",2300.0,1.0,1.0,10.0,121.0363943,14.5820678,mandaluyong
70,staff house for rent in mandaluyong,"malamig, mandaluyong",25000.0,1.0,1.0,30.0,121.0363943,14.5820678,mandaluyong
71,room in mandaluyong near to city hall,"hulo, mandaluyong",3000.0,1.0,1.0,20.0,121.0363943,14.5820678,mandaluyong
72,"studio type apartment for rent in mandaluyong city, metro manila",mandaluyong,10000.0,1.0,1.0,20.0,121.0363943,14.5820678,mandaluyong
73,studio for rent in mandaluyong city,"plainview, mandaluyong",17000.0,1.0,1.0,25.0,121.0363943,14.5820678,mandaluyong
74,cityland pioneer condo sharing/bedspace for female for rent in mandaluyong,"highway hills, mandaluyong",5300.0,3.0,2.0,109.0,121.0539876,14.57182511,mandaluyong
75,"78 sqm 2 bedroom condominium for rent in dmci sta mesa, manila","santa mesa, manila",40000.0,2.0,1.0,78.0,121.00385872871,14.604865806226,manila
76,2 bedroom brand new for rent fully furnished 55sqm with balcony,"ermita, manila",32000.0,2.0,1.0,55.0,120.9825154,14.5860743,manila
77,2-br unit (fully furnished) loft type in avenue of the arts residences for lease,"ermita, manila",80000.0,2.0,2.0,139.0,120.9825154,14.5860743,manila
78,2br unit fully furnished at avenue of the arts residences for rent in manila,"ermita, manila",80000.0,2.0,2.0,109.0,120.9825154,14.5860743,manila
79,"for lease two bedroom @ robinsons adriatico residences, manila","ermita, manila",65000.0,2.0,2.0,88.0,120.9825154,14.5860743,manila
80,studio condo unit for rent as low as 8k per month near college of saint benilde,"malate, manila",8500.0,1.0,1.0,16.0,120.991585,14.570199,manila
81,"manila residences taft, 2 bedroom for rent","malate, manila",35000.0,2.0,2.0,63.0,120.9912311,14.5668765,manila
82,"1br condo for rent in green residences, taft ave., malate, manila","taft, manila",19500.0,1.0,1.0,28.0,120.9928481,14.567385,manila
83,for rent unfurnished 1 bedroom in malate near korean town manila,"malate, manila",18000.0,1.0,1.0,27.0,120.991585,14.570199,manila
84,fully furnished 81sqm one bedroom for rent at malate manila,"malate, manila",29160.0,1.0,2.0,81.0,120.9865825,14.56684656,manila
85,brand new 2 bedroom condominium unit @ torre de manila for lease,"ermita, manila",32000.0,2.0,1.0,55.0,120.9849377,14.5851163,manila
86,1br condominium fully furnished unit for rent at celadon park st. cruz manila,"santa cruz, manila",37000.0,1.0,1.0,50.0,120.984764,14.617888,manila
87,"torre de manila brand new 2 bedroom with parking for rent in ermita, manila","ermita, manila",40000.0,2.0,1.0,50.0,120.9825154,14.5860743,manila
88,"2 bedroom unit for rent in otis, manila","paco, manila",25000.0,2.0,1.0,37.0,120.993855,14.585454,manila
89,"fully furnished 1 bedroom unit in sta. ana- brokers welcome, manila","santa ana, manila",25000.0,1.0,1.0,24.0,121.0083839,14.5805078,manila
90,1 bedroom unit in binondo manila for rent,"binondo, manila",28000.0,1.0,1.0,35.0,120.9802254,14.59789135,manila
91,"for rent  2 bedroom unit in peninsula garden in paco, manila","paco, manila",25000.0,2.0,1.0,37.0,120.993855,14.585454,manila
92,for rent 23sqm furnished studio type condo in the silk residences in manila,"santa mesa, manila",15000.0,1.0,1.0,23.0,121.0117496,14.6030108,manila
93,for lease studio in ivy hill residences taft manila1,"malate, manila",16000.0,1.0,1.0,30.0,120.991585,14.570199,manila
94,fully furnished 2 bedroom low priced for rent at peninsula garden paco manila,"paco, manila",23000.0,2.0,1.0,34.0,120.993855,14.585454,manila
95,condo for rent in manila near circuit makati,"santa ana, manila",18000.0,1.0,1.0,23.0,121.0099794,14.5812608,manila
96,"affordable 2 bedroom fully furnished for rent at peninsula garden m.h., manila","paco, manila",23000.0,2.0,1.0,34.0,120.993855,14.585454,manila
97,"for rent 1 bedroom flex fully furnished in the  silk residences, santa mesa","santa mesa, manila",25000.0,1.0,1.0,54.0,121.0117496,14.6030108,manila
98,for rent east facing 1bedroom unit at green residences taft manila,"taft, manila",21000.0,1.0,1.0,23.0,120.9928481,14.567385,manila
99,2 bedroom condominium for rent fully furnished in santa mesa manila,"santa mesa, manila",30000.0,2.0,1.0,56.0,121.0117496,14.6030108,manila
100,"for rent: furnished 1br condominium unit at green residences, manila","taft, manila",25000.0,1.0,1.0,28.0,120.9932061,14.5667099,manila
101,one bedroom condo for rent ermita manila,"ermita, manila",22000.0,1.0,1.0,41.0,120.9822884,14.57868271,manila
102,"for rent 37 sqm studio unit at vito cruz tower 2, citiyland, manila","malate, manila",18000.0,1.0,1.0,37.0,120.991585,14.570199,manila
103,"for lease: 2 bedroom at pearl of the orient in ermita, manila","ermita, manila",70000.0,2.0,3.0,95.0,120.9802287,14.57728901,manila
104,prime residential condo unit for lease in the heart of manila city,"malate, manila",25000.0,1.0,1.0,33.0,120.991585,14.570199,manila
105,"for rent: furnished studio type condo unit in zen towers tower 1, ermita, manila","ermita, manila",20000.0,1.0,1.0,31.0,120.9825154,14.5860743,manila
106,"fully-furnished studio unit for rent in celadon park, manila","santa cruz, manila",18000.0,1.0,1.0,26.0,120.9862,14.61984,manila
